frame_id,video_id,frame_number,timestamp,class,class_name,confidence,bbox_x,bbox_y,bbox_w,bbox_h,person_visible,head_above_water,movement_intensity,body_orientation
F00001,V001,0,0.000,0,normal_swimming,1.0,450,320,220,380,yes,yes,moderate,horizontal
F00002,V001,30,1.000,0,normal_swimming,1.0,470,325,215,375,yes,yes,moderate,horizontal
F00003,V001,60,2.000,0,normal_swimming,1.0,490,330,218,370,yes,yes,moderate,horizontal
F00004,V003,300,10.000,1,drowning_active,1.0,520,280,200,420,yes,partial,high,vertical
F00005,V003,330,11.000,1,drowning_active,1.0,518,290,205,415,yes,partial,high,vertical
F00006,V003,360,12.000,1,drowning_active,1.0,522,285,198,425,yes,no,high,vertical
F00007,V003,390,13.000,1,drowning_active,1.0,520,295,202,418,yes,partial,high,vertical
F00008,V005,200,6.667,2,drowning_passive,1.0,600,400,180,320,yes,no,none,horizontal_face_down
F00009,V005,300,10.000,2,drowning_passive,1.0,605,405,178,318,yes,no,none,horizontal_face_down
F00010,V005,400,13.333,2,drowning_passive,1.0,610,410,175,315,yes,no,none,horizontal_face_down
F00011,V007,100,3.333,3,swimming_distress,0.9,450,350,210,360,yes,yes,irregular,tilted
F00012,V007,200,6.667,3,swimming_distress,0.9,440,360,215,355,yes,yes,irregular,tilted
F00013,V007,300,10.000,3,swimming_distress,0.9,430,370,220,350,yes,yes,irregular,tilted
F00014,V002,100,3.333,0,normal_swimming,1.0,350,300,180,340,yes,yes,moderate,horizontal
F00015,V002,200,6.667,0,normal_swimming,1.0,550,320,170,330,yes,yes,moderate,horizontal
F00016,V004,150,5.000,1,drowning_active,1.0,640,270,190,440,yes,partial,high,vertical
F00017,V004,250,8.333,1,drowning_active,1.0,638,280,195,435,yes,no,high,vertical
F00018,V004,350,11.667,1,drowning_active,1.0,642,275,188,442,yes,partial,high,vertical
F00019,V006,200,6.667,2,drowning_passive,1.0,700,450,175,310,yes,no,minimal,horizontal_face_down
F00020,V006,400,13.333,2,drowning_passive,1.0,705,455,173,308,yes,no,none,horizontal_face_down
