video_id,filename,class,class_name,pool_type,lighting,camera_angle,confidence
V0001,sample_0001.jpg,0,normal_swimming,outdoor,natural,side_view,0.96
V0002,sample_0002.jpg,3,swimming_distress,outdoor,low_light,side_view,0.89
V0003,sample_0003.jpg,3,swimming_distress,outdoor,low_light,45_degree,0.88
V0004,sample_0004.jpg,2,drowning_passive,indoor,artificial,45_degree,0.84
V0005,sample_0005.jpg,3,swimming_distress,outdoor,artificial,45_degree,0.93
V0006,sample_0006.jpg,1,drowning_active,indoor,low_light,45_degree,0.82
V0007,sample_0007.jpg,2,drowning_passive,outdoor,low_light,side_view,0.88
V0008,sample_0008.jpg,0,normal_swimming,indoor,natural,45_degree,0.95
V0009,sample_0009.jpg,3,swimming_distress,outdoor,natural,45_degree,0.81
V0010,sample_0010.jpg,1,drowning_active,outdoor,artificial,side_view,0.77
V0011,sample_0011.jpg,3,swimming_distress,indoor,low_light,side_view,0.82
V0012,sample_0012.jpg,1,drowning_active,outdoor,natural,side_view,0.94
V0013,sample_0013.jpg,3,swimming_distress,indoor,low_light,overhead,0.9
V0014,sample_0014.jpg,2,drowning_passive,outdoor,low_light,45_degree,0.75
V0015,sample_0015.jpg,1,drowning_active,indoor,low_light,overhead,0.79
V0016,sample_0016.jpg,3,swimming_distress,indoor,artificial,overhead,0.92
V0017,sample_0017.jpg,1,drowning_active,indoor,artificial,side_view,0.84
V0018,sample_0018.jpg,1,drowning_active,outdoor,artificial,45_degree,0.82
V0019,sample_0019.jpg,2,drowning_passive,indoor,artificial,side_view,0.81
V0020,sample_0020.jpg,0,normal_swimming,outdoor,low_light,side_view,0.82
V0021,sample_0021.jpg,1,drowning_active,indoor,natural,side_view,0.98
V0022,sample_0022.jpg,1,drowning_active,indoor,low_light,45_degree,0.85
V0023,sample_0023.jpg,0,normal_swimming,indoor,natural,overhead,0.78
V0024,sample_0024.jpg,1,drowning_active,indoor,natural,overhead,0.86
V0025,sample_0025.jpg,2,drowning_passive,indoor,artificial,side_view,0.94
V0026,sample_0026.jpg,0,normal_swimming,indoor,low_light,45_degree,0.8
V0027,sample_0027.jpg,0,normal_swimming,outdoor,artificial,side_view,0.93
V0028,sample_0028.jpg,0,normal_swimming,outdoor,natural,overhead,0.9
V0029,sample_0029.jpg,0,normal_swimming,outdoor,artificial,45_degree,0.82
V0030,sample_0030.jpg,0,normal_swimming,outdoor,artificial,overhead,0.79
V0031,sample_0031.jpg,0,normal_swimming,indoor,natural,side_view,0.9
V0032,sample_0032.jpg,3,swimming_distress,outdoor,natural,overhead,0.84
V0033,sample_0033.jpg,1,drowning_active,indoor,natural,side_view,0.96
V0034,sample_0034.jpg,1,drowning_active,indoor,artificial,side_view,0.94
V0035,sample_0035.jpg,3,swimming_distress,outdoor,natural,overhead,0.9
V0036,sample_0036.jpg,2,drowning_passive,indoor,natural,overhead,0.84
V0037,sample_0037.jpg,1,drowning_active,indoor,natural,45_degree,0.9
V0038,sample_0038.jpg,2,drowning_passive,indoor,artificial,side_view,0.98
V0039,sample_0039.jpg,1,drowning_active,outdoor,artificial,45_degree,0.94
V0040,sample_0040.jpg,2,drowning_passive,outdoor,natural,45_degree,0.82
V0041,sample_0041.jpg,1,drowning_active,indoor,artificial,45_degree,0.92
V0042,sample_0042.jpg,2,drowning_passive,indoor,natural,side_view,0.82
V0043,sample_0043.jpg,1,drowning_active,outdoor,natural,side_view,0.81
V0044,sample_0044.jpg,3,swimming_distress,indoor,natural,side_view,0.76
V0045,sample_0045.jpg,1,drowning_active,indoor,natural,overhead,0.97
V0046,sample_0046.jpg,2,drowning_passive,indoor,artificial,side_view,0.98
V0047,sample_0047.jpg,2,drowning_passive,indoor,natural,45_degree,0.93
V0048,sample_0048.jpg,3,swimming_distress,outdoor,artificial,overhead,0.79
V0049,sample_0049.jpg,3,swimming_distress,outdoor,natural,side_view,0.76
V0050,sample_0050.jpg,0,normal_swimming,outdoor,artificial,overhead,0.94
